Fold,Accuracy,Order
2,0.7904984423676013,"1,8,4,9,3,2,7,5,6,10,11,12"
3,0.7926734216679657,"1,8,4,9,3,2,7,5,6,10,11,12"
4,0.8020265003897116,"1,8,4,9,3,2,7,5,6,10,11,12"
5,0.8004676539360873,"1,8,4,9,3,2,7,5,6,10,11,12"
6,0.8012470771628994,"1,8,4,9,3,2,7,5,6,10,11,12"
7,0.8012470771628994,"1,8,4,9,3,2,7,5,6,10,11,12"
8,0.809041309431021,"1,8,4,9,3,2,7,5,6,10,11,12"
9,0.8051441932969603,"1,8,4,9,3,2,7,5,6,10,11,12"
10,0.8176149649259548,"1,8,4,9,3,2,7,5,6,10,11,12"
1,0.7959501557632399,"1,8,4,3,9,2,7,10,6,5,11,12"
2,0.7920560747663551,"1,8,4,3,9,2,7,10,6,5,11,12"
3,0.7903351519875292,"1,8,4,3,9,2,7,10,6,5,11,12"
4,0.8004676539360873,"1,8,4,3,9,2,7,10,6,5,11,12"
5,0.8004676539360873,"1,8,4,3,9,2,7,10,6,5,11,12"
6,0.798908807482463,"1,8,4,3,9,2,7,10,6,5,11,12"
7,0.8028059236165238,"1,8,4,3,9,2,7,10,6,5,11,12"
8,0.809041309431021,"1,8,4,3,9,2,7,10,6,5,11,12"
9,0.8059236165237724,"1,8,4,3,9,2,7,10,6,5,11,12"
10,0.818394388152767,"1,8,4,3,9,2,7,10,6,5,11,12"
1,0.7920560747663551,"7,6,5,8,1,4,3,9,2,10,11,12"
2,0.7904984423676013,"7,6,5,8,1,4,3,9,2,10,11,12"
3,0.7918939984411536,"7,6,5,8,1,4,3,9,2,10,11,12"
4,0.8020265003897116,"7,6,5,8,1,4,3,9,2,10,11,12"
5,0.7996882307092751,"7,6,5,8,1,4,3,9,2,10,11,12"
6,0.8004676539360873,"7,6,5,8,1,4,3,9,2,10,11,12"
7,0.8012470771628994,"7,6,5,8,1,4,3,9,2,10,11,12"
8,0.8074824629773967,"7,6,5,8,1,4,3,9,2,10,11,12"
9,0.8051441932969603,"7,6,5,8,1,4,3,9,2,10,11,12"
10,0.8176149649259548,"7,6,5,8,1,4,3,9,2,10,11,12"
1,0.7928348909657321,"9,6,1,8,4,3,2,7,5,10,11,12"
2,0.7904984423676013,"9,6,1,8,4,3,2,7,5,10,11,12"
3,0.7926734216679657,"9,6,1,8,4,3,2,7,5,10,11,12"
4,0.8020265003897116,"9,6,1,8,4,3,2,7,5,10,11,12"
5,0.798908807482463,"9,6,1,8,4,3,2,7,5,10,11,12"
6,0.8020265003897116,"9,6,1,8,4,3,2,7,5,10,11,12"
7,0.8012470771628994,"9,6,1,8,4,3,2,7,5,10,11,12"
8,0.8082618862042089,"9,6,1,8,4,3,2,7,5,10,11,12"
9,0.8051441932969603,"9,6,1,8,4,3,2,7,5,10,11,12"
10,0.818394388152767,"9,6,1,8,4,3,2,7,5,10,11,12"
1,0.7995373939861218,"10,11,1,8,4,3,9,2,7,6,5,12"
2,0.8157286044718581,"10,11,1,8,4,3,9,2,7,6,5,12"
3,0.7925983037779492,"10,11,1,8,4,3,9,2,7,6,5,12"
4,0.8018504240555128,"10,11,1,8,4,3,9,2,7,6,5,12"
5,0.7962962962962963,"10,11,1,8,4,3,9,2,7,6,5,12"
6,0.8094135802469136,"10,11,1,8,4,3,9,2,7,6,5,12"
7,0.8055555555555556,"10,11,1,8,4,3,9,2,7,6,5,12"
8,0.8125,"10,11,1,8,4,3,9,2,7,6,5,12"
9,0.7993827160493827,"10,11,1,8,4,3,9,2,7,6,5,12"
10,0.8094135802469136,"10,11,1,8,4,3,9,2,7,6,5,12"
1,0.7912772585669782,"8,1,3,9,7,6,5,10,11,4,12,2"
2,0.7904984423676013,"8,1,3,9,7,6,5,10,11,4,12,2"
3,0.79423226812159,"8,1,3,9,7,6,5,10,11,4,12,2"
4,0.8012470771628994,"8,1,3,9,7,6,5,10,11,4,12,2"
5,0.7996882307092751,"8,1,3,9,7,6,5,10,11,4,12,2"
6,0.8004676539360873,"8,1,3,9,7,6,5,10,11,4,12,2"
7,0.7996882307092751,"8,1,3,9,7,6,5,10,11,4,12,2"
8,0.8059236165237724,"8,1,3,9,7,6,5,10,11,4,12,2"
9,0.8035853468433359,"8,1,3,9,7,6,5,10,11,4,12,2"
10,0.8207326578332035,"8,1,3,9,7,6,5,10,11,4,12,2"
1,0.7967289719626168,"1,8,4,9,10,11,6,7,5,3,2,12"
2,0.7912772585669782,"1,8,4,9,10,11,6,7,5,3,2,12"
3,0.7918939984411536,"1,8,4,9,10,11,6,7,5,3,2,12"
4,0.8020265003897116,"1,8,4,9,10,11,6,7,5,3,2,12"
5,0.8004676539360873,"1,8,4,9,10,11,6,7,5,3,2,12"
6,0.8020265003897116,"1,8,4,9,10,11,6,7,5,3,2,12"
7,0.7981293842556508,"1,8,4,9,10,11,6,7,5,3,2,12"
8,0.8059236165237724,"1,8,4,9,10,11,6,7,5,3,2,12"
9,0.8067030397505845,"1,8,4,9,10,11,6,7,5,3,2,12"
10,0.818394388152767,"1,8,4,9,10,11,6,7,5,3,2,12"
1,0.7912772585669782,"1,6,8,7,4,5,3,10,11,2,9,12"
2,0.7904984423676013,"1,6,8,7,4,5,3,10,11,2,9,12"
3,0.79423226812159,"1,6,8,7,4,5,3,10,11,2,9,12"
4,0.8012470771628994,"1,6,8,7,4,5,3,10,11,2,9,12"
5,0.7996882307092751,"1,6,8,7,4,5,3,10,11,2,9,12"
6,0.8004676539360873,"1,6,8,7,4,5,3,10,11,2,9,12"
7,0.7996882307092751,"1,6,8,7,4,5,3,10,11,2,9,12"
8,0.8059236165237724,"1,6,8,7,4,5,3,10,11,2,9,12"
9,0.8035853468433359,"1,6,8,7,4,5,3,10,11,2,9,12"
10,0.8207326578332035,"1,6,8,7,4,5,3,10,11,2,9,12"
1,0.7995373939861218,"6,7,5,10,11,12,4,2,3,9,1,8"
2,0.8172706245181187,"6,7,5,10,11,12,4,2,3,9,1,8"
3,0.7964533538936006,"6,7,5,10,11,12,4,2,3,9,1,8"
4,0.8010794140323825,"6,7,5,10,11,12,4,2,3,9,1,8"
5,0.7962962962962963,"6,7,5,10,11,12,4,2,3,9,1,8"
6,0.808641975308642,"6,7,5,10,11,12,4,2,3,9,1,8"
7,0.8063271604938271,"6,7,5,10,11,12,4,2,3,9,1,8"
8,0.8140432098765432,"6,7,5,10,11,12,4,2,3,9,1,8"
9,0.7993827160493827,"6,7,5,10,11,12,4,2,3,9,1,8"
10,0.808641975308642,"6,7,5,10,11,12,4,2,3,9,1,8"
1,0.7967289719626168,"1,8,4,3,2,9,10,7,6,5,11,12"
2,0.7897196261682243,"1,8,4,3,2,9,10,7,6,5,11,12"
3,0.7926734216679657,"1,8,4,3,2,9,10,7,6,5,11,12"
4,0.8012470771628994,"1,8,4,3,2,9,10,7,6,5,11,12"
5,0.8004676539360873,"1,8,4,3,2,9,10,7,6,5,11,12"
6,0.8020265003897116,"1,8,4,3,2,9,10,7,6,5,11,12"
7,0.7981293842556508,"1,8,4,3,2,9,10,7,6,5,11,12"
8,0.809041309431021,"1,8,4,3,2,9,10,7,6,5,11,12"
9,0.8067030397505845,"1,8,4,3,2,9,10,7,6,5,11,12"
10,0.8160561184723305,"1,8,4,3,2,9,10,7,6,5,11,12"
1,0.7920560747663551,"1,8,4,9,3,2,7,5,6,10,11,12"
2,0.7904984423676013,"1,8,4,9,3,2,7,5,6,10,11,12"
3,0.7926734216679657,"1,8,4,9,3,2,7,5,6,10,11,12"
4,0.8020265003897116,"1,8,4,9,3,2,7,5,6,10,11,12"
5,0.8004676539360873,"1,8,4,9,3,2,7,5,6,10,11,12"
6,0.8012470771628994,"1,8,4,9,3,2,7,5,6,10,11,12"
7,0.8012470771628994,"1,8,4,9,3,2,7,5,6,10,11,12"
8,0.809041309431021,"1,8,4,9,3,2,7,5,6,10,11,12"
9,0.8051441932969603,"1,8,4,9,3,2,7,5,6,10,11,12"
10,0.8176149649259548,"1,8,4,9,3,2,7,5,6,10,11,12"
1,0.7959501557632399,"1,8,4,3,9,2,7,10,6,5,11,12"
2,0.7920560747663551,"1,8,4,3,9,2,7,10,6,5,11,12"
3,0.7903351519875292,"1,8,4,3,9,2,7,10,6,5,11,12"
4,0.8004676539360873,"1,8,4,3,9,2,7,10,6,5,11,12"
5,0.8004676539360873,"1,8,4,3,9,2,7,10,6,5,11,12"
6,0.798908807482463,"1,8,4,3,9,2,7,10,6,5,11,12"
7,0.8028059236165238,"1,8,4,3,9,2,7,10,6,5,11,12"
8,0.809041309431021,"1,8,4,3,9,2,7,10,6,5,11,12"
9,0.8059236165237724,"1,8,4,3,9,2,7,10,6,5,11,12"
10,0.818394388152767,"1,8,4,3,9,2,7,10,6,5,11,12"
1,0.7920560747663551,"7,6,5,8,1,4,3,9,2,10,11,12"
2,0.7904984423676013,"7,6,5,8,1,4,3,9,2,10,11,12"
3,0.7918939984411536,"7,6,5,8,1,4,3,9,2,10,11,12"
4,0.8020265003897116,"7,6,5,8,1,4,3,9,2,10,11,12"
5,0.7996882307092751,"7,6,5,8,1,4,3,9,2,10,11,12"
6,0.8004676539360873,"7,6,5,8,1,4,3,9,2,10,11,12"
7,0.8012470771628994,"7,6,5,8,1,4,3,9,2,10,11,12"
8,0.8074824629773967,"7,6,5,8,1,4,3,9,2,10,11,12"
9,0.8051441932969603,"7,6,5,8,1,4,3,9,2,10,11,12"
10,0.8176149649259548,"7,6,5,8,1,4,3,9,2,10,11,12"
1,0.7928348909657321,"9,6,1,8,4,3,2,7,5,10,11,12"
2,0.7904984423676013,"9,6,1,8,4,3,2,7,5,10,11,12"
3,0.7926734216679657,"9,6,1,8,4,3,2,7,5,10,11,12"
4,0.8020265003897116,"9,6,1,8,4,3,2,7,5,10,11,12"
5,0.798908807482463,"9,6,1,8,4,3,2,7,5,10,11,12"
6,0.8020265003897116,"9,6,1,8,4,3,2,7,5,10,11,12"
7,0.8012470771628994,"9,6,1,8,4,3,2,7,5,10,11,12"
8,0.8082618862042089,"9,6,1,8,4,3,2,7,5,10,11,12"
9,0.8051441932969603,"9,6,1,8,4,3,2,7,5,10,11,12"
10,0.818394388152767,"9,6,1,8,4,3,2,7,5,10,11,12"
1,0.7995373939861218,"10,11,1,8,4,3,9,2,7,6,5,12"
2,0.8157286044718581,"10,11,1,8,4,3,9,2,7,6,5,12"
3,0.7925983037779492,"10,11,1,8,4,3,9,2,7,6,5,12"
4,0.8018504240555128,"10,11,1,8,4,3,9,2,7,6,5,12"
5,0.7962962962962963,"10,11,1,8,4,3,9,2,7,6,5,12"
6,0.8094135802469136,"10,11,1,8,4,3,9,2,7,6,5,12"
7,0.8055555555555556,"10,11,1,8,4,3,9,2,7,6,5,12"
8,0.8125,"10,11,1,8,4,3,9,2,7,6,5,12"
9,0.7993827160493827,"10,11,1,8,4,3,9,2,7,6,5,12"
10,0.8094135802469136,"10,11,1,8,4,3,9,2,7,6,5,12"
1,0.7912772585669782,"8,1,3,9,7,6,5,10,11,4,12,2"
2,0.7904984423676013,"8,1,3,9,7,6,5,10,11,4,12,2"
3,0.79423226812159,"8,1,3,9,7,6,5,10,11,4,12,2"
4,0.8012470771628994,"8,1,3,9,7,6,5,10,11,4,12,2"
5,0.7996882307092751,"8,1,3,9,7,6,5,10,11,4,12,2"
6,0.8004676539360873,"8,1,3,9,7,6,5,10,11,4,12,2"
7,0.7996882307092751,"8,1,3,9,7,6,5,10,11,4,12,2"
8,0.8059236165237724,"8,1,3,9,7,6,5,10,11,4,12,2"
9,0.8035853468433359,"8,1,3,9,7,6,5,10,11,4,12,2"
10,0.8207326578332035,"8,1,3,9,7,6,5,10,11,4,12,2"
1,0.7967289719626168,"1,8,4,9,10,11,6,7,5,3,2,12"
2,0.7912772585669782,"1,8,4,9,10,11,6,7,5,3,2,12"
3,0.7918939984411536,"1,8,4,9,10,11,6,7,5,3,2,12"
4,0.8020265003897116,"1,8,4,9,10,11,6,7,5,3,2,12"
5,0.8004676539360873,"1,8,4,9,10,11,6,7,5,3,2,12"
6,0.8020265003897116,"1,8,4,9,10,11,6,7,5,3,2,12"
7,0.7981293842556508,"1,8,4,9,10,11,6,7,5,3,2,12"
8,0.8059236165237724,"1,8,4,9,10,11,6,7,5,3,2,12"
9,0.8067030397505845,"1,8,4,9,10,11,6,7,5,3,2,12"
10,0.818394388152767,"1,8,4,9,10,11,6,7,5,3,2,12"
1,0.7912772585669782,"1,6,8,7,4,5,3,10,11,2,9,12"
2,0.7904984423676013,"1,6,8,7,4,5,3,10,11,2,9,12"
3,0.79423226812159,"1,6,8,7,4,5,3,10,11,2,9,12"
4,0.8012470771628994,"1,6,8,7,4,5,3,10,11,2,9,12"
5,0.7996882307092751,"1,6,8,7,4,5,3,10,11,2,9,12"
6,0.8004676539360873,"1,6,8,7,4,5,3,10,11,2,9,12"
7,0.7996882307092751,"1,6,8,7,4,5,3,10,11,2,9,12"
8,0.8059236165237724,"1,6,8,7,4,5,3,10,11,2,9,12"
9,0.8035853468433359,"1,6,8,7,4,5,3,10,11,2,9,12"
10,0.8207326578332035,"1,6,8,7,4,5,3,10,11,2,9,12"
1,0.7995373939861218,"6,7,5,10,11,12,4,2,3,9,1,8"
2,0.8172706245181187,"6,7,5,10,11,12,4,2,3,9,1,8"
3,0.7964533538936006,"6,7,5,10,11,12,4,2,3,9,1,8"
4,0.8010794140323825,"6,7,5,10,11,12,4,2,3,9,1,8"
5,0.7962962962962963,"6,7,5,10,11,12,4,2,3,9,1,8"
6,0.808641975308642,"6,7,5,10,11,12,4,2,3,9,1,8"
7,0.8063271604938271,"6,7,5,10,11,12,4,2,3,9,1,8"
8,0.8140432098765432,"6,7,5,10,11,12,4,2,3,9,1,8"
9,0.7993827160493827,"6,7,5,10,11,12,4,2,3,9,1,8"
10,0.808641975308642,"6,7,5,10,11,12,4,2,3,9,1,8"
1,0.7967289719626168,"1,8,4,3,2,9,10,7,6,5,11,12"
2,0.7897196261682243,"1,8,4,3,2,9,10,7,6,5,11,12"
3,0.7926734216679657,"1,8,4,3,2,9,10,7,6,5,11,12"
4,0.8012470771628994,"1,8,4,3,2,9,10,7,6,5,11,12"
5,0.8004676539360873,"1,8,4,3,2,9,10,7,6,5,11,12"
6,0.8020265003897116,"1,8,4,3,2,9,10,7,6,5,11,12"
7,0.7981293842556508,"1,8,4,3,2,9,10,7,6,5,11,12"
8,0.809041309431021,"1,8,4,3,2,9,10,7,6,5,11,12"
9,0.8067030397505845,"1,8,4,3,2,9,10,7,6,5,11,12"
10,0.8160561184723305,"1,8,4,3,2,9,10,7,6,5,11,12"
1,0.8070714834742506,0
2,0.8109146810146042,0
3,0.7986164488854727,0
4,0.813989239046887,0
5,0.7932359723289777,0
6,0.7940046118370484,0
7,0.803076923076923,0
8,0.7892307692307692,0
9,0.8076923076923077,0
10,0.803076923076923,0
1,0.8070714834742506,0
2,0.8109146810146042,0
3,0.7986164488854727,0
4,0.813989239046887,0
5,0.7932359723289777,0
6,0.7940046118370484,0
7,0.803076923076923,0
8,0.7892307692307692,0
9,0.8076923076923077,0
10,0.803076923076923,0